"_id","name","price","disabled","description","__v"
"59fb7cfe734d1d170d45857f","front flat repair","7","1",,
"5a7cf973734d1d794663f4f7","rear flat repair","8",,"Removal of one tire bead from the wheel, removal of tube, and inspection of tire & tube to identify cause of the flat. Wipe inside the tire with a shop rag. Remedy the cause of the flat, reinstall new tube & the second tire bead. Does not include cost of tube, or cost of replacing rim tape (See Install Rim Tape). Does not apply to tubeless tires (See Install Tubeless Tire)",
"5a8ccd9144598272c1ec0588","Adjust rim brake (front)","12",,"Adjustment of one v-brake or caliper brake (Adequate power, no rubbing on rim, equivalent gap between rim and right and left pads).",
"5a8ccd9144598272c1ec0589","Installing brake lever","22",,"Removing old lever, installing new parts, and adjusting",
"5a8ccd9144598272c1ec058a","Install brake pads","15",,"Remove old and install new pads (not included), brake adjust",
"5a8ccd9144598272c1ec058b","Install rim brake","20",,"Removing old brake, installing new parts, and adjusting. Includes new cable and housing",
"5a8ccd9144598272c1ec058c","Install brake cable","18",,"Removal of old brake cable and housing, measuring, cutting, installing new cable and housing , brake adjustment.",
"5a8ccd9144598272c1ec058d","Headset adjustment","12",,"Adjusting bearing preload until no free play in headset while holding front brake and applying pressure",
"5a8ccd9144598272c1ec058e","Adjust disc brake","15",,"Adjustment of disc (Adequate power, no rubbing on rotor, equivalent gap between rim and right and left pads).",
"5a8ccd9144598272c1ec058f","Headset overhaul","20",,"Remove stem and fork, dismantle and clean headset, install new bearings and new grease, reinstall stem and fork, adjust bearing preload.",
"5a8ccd9144598272c1ec0590","Wrap handlebars","15",,"Removal of old bar tape and end plugs, ensuring brake and gear cables run close to handlebars, wrapping bars with new tape(not included)",
"5a8ccd9144598272c1ec0591","Install grips","10",,"Removal of old grips, installation of new grips.",
"5a8ccd9144598272c1ec0592","Install handlebars","20","1","Removal of old bars and accessories (if applicable), installation of new bars , transfer brakes/shifters to new bars.",
"5a8ccd9144598272c1ec0593","Adjust bottom bracket","12",,"Removal of crank to access adjustment, tightening bearings until no free play, reinstallation of crank.",
"5a8ccd9144598272c1ec0594","Install bottom bracket","25","1","Removal of cranks & old BB, clean threads, greasing new BB cups, installation of new BB, reinstallation of cranks. Bottom bracket separate.",
"5a8ccd9144598272c1ec0597","Install stem","10",,"Removal of old handlebars from stem and old stem from fork, installation of new stem, reinstallation of handlebars.",
"5a8ccd9144598272c1ec0598","Install shifter","25",,"Removal of old shifter and cable inner, installation of new shifter and cable inner (retaining original housing), adjustment of derailleur to function as before.",
"5a8ccd9144598272c1ec0599","Overhaul bottom bracket","30",,"Removal of cranks and BB cups, removal of old bearings, cleaning cups, installation of new bearings/grease, reinstallation of BB and cranks",
"5a8ccd9144598272c1ec059b","Install derailleur cable","20",,"Removal of old cable + housing, installation of new cable and housing, adjustment of derailleur to function as before. Cable, housing, cable ends/small parts included in price.",
